id,subject,chapter,topic,stem,options,correct_index,explanation,difficulty,language,source,status,created_by,created_at,difficulty_ai,bloom_level,ai_flags,reviewed_by,reviewed_at,updated_at,tags
1011,Biology,General Biology,Mixed,What amount of energy is released from,"[""About 10%"", ""Less than 7%"", ""Approximately 15%"", ""Six""]",0,"{""text"": ""Answer (1)\n(4) More than 18%\nOne molecule of glucose undergoes glycolysis\nSol. Answer (2)\nto form 4 molecules of ATP, two are used in\nactivation phase so net gain is of 2 ATP. Less than 7% of energy is released in lactic\nacid and alcoholic fermentation""}",3,English,NEET 2022,active,,2025-09-21T16:59:52.245000,,Apply,,,,2025-09-21T16:59:52.245000,"[""neet-2022"", ""biology""]"
1012,Biology,General Biology,Mixed,"Which of the following is not observed during
apoplastic pathway? 129. Identify the correct set of statements:","[""Ethylene"", ""(a), (b), (d) and (e) Only"", ""(b) and (c) Only"", ""Gibberellin""]",0,"{""text"": ""Answer (1)\n(4) (a) and (d) Only\nIn cucumbers, ethylene is responsible for\nSol. Answer (1)\npromoting female flower production and\nAdventitious buds and not leaflets are modified thereby increasing the yield.\ninto pointed hard thorns in Citrus and""}",3,English,NEET 2022,active,,2025-09-21T16:59:52.245062,,Apply,,,,2025-09-21T16:59:52.245062,"[""neet-2022"", ""biology""]"
1013,Biology,General Biology,Mixed,"Which one of the following statements cannot
enzyme catalase
be connected to Predation?","[""Both the interacting species are negatively (b) Magnesium (ii) Required for pollen\nimpacted germination"", ""It is necessitated by nature to maintain the\n(c) Boron (iii) Activates enzymes\necological balance\nof respiration"", ""It helps in maintaining species diversity in a\ncommunity (d) Iron (iv) Functions in\nsplitting of water"", ""It might lead to extinction of a species\nduring photosynthesis""]",0,"{""text"": ""Answer (1)\nChoose the correct answer from the options\nIn Predation interaction, is + - i.e for species\ngiven below\n(Host) it is beneficial and for others (Prey) it is\ndetrimental (1) (a)-(iv), (b)- (i),(c)-(ii), (d)-(iii)""}",3,English,NEET 2022,active,,2025-09-21T16:59:52.245121,,Apply,,,,2025-09-21T16:59:52.245121,"[""neet-2022"", ""biology""]"
1014,Biology,General Biology,Mixed,"The gaseous plant growth regulator is used in
• Fern is a pteridophyte - Life cycle shows
plants to:
dominant diploid sporophyte, alternating with","[""help overcome apical dominance\nreduced free living gametophytic stage. So its"", ""kill dicotyledonous weeds in the fields Haplo-diplontic life cycle"", ""speed up the malting process • Funaria - belongs to Bryophyta. Its a moss\nplant. Exhibits haplo diplontic lifecycle."", ""promote root growth and root hair formation\nto increase the absorption surface The free living haploid gametophyte bears the\nsporophytic plant body.""]",3,"{""text"": ""Answer (4)\n• Cycas - Gymnosperms.\nGaseous plant growth regulator is ethylene\nwhich helps in root growth and root hair Gymnosperms exhibit dominant diploid\nabsorption and therefore increases the surface saprophytic plant body, with highly reduced\narea for absorption male/female gametophyte.""}",3,English,NEET 2022,active,,2025-09-21T16:59:52.245275,,Apply,,,,2025-09-21T16:59:52.245275,"[""neet-2022"", ""biology""]"
1015,Biology,General Biology,Mixed,"Match the plant with the kind of life cycle it 137. Which part of the fruit, labelled in the given
exhibits: figure makes it a false fruit?
List-I List-II
(a) Spirogyra (i) Dominant diploid
sporophyte vascular
plant, with highly
reduced male or
female gametophyte
(b) Fern (ii) Dominant","[""C → Thalamus"", ""D → Seed\nhaploid free-living\ngametophyte"", ""A → Mesocarp"", ""B → Endocarp""]",0,"{""text"": ""Answer (1)\n(c) Funaria (iii) Dominant diploid\nsporophyte alternating C → Thalamus\nwith reduced\nA fruit developed from fertilized ovary is true\ngametophyte called\nfruit.\nprothallus\nThalamus becomes fleshy and grows around\n(b) Cycas (iv) Dominant the true fruit. This fleshy, juicy thalamus is\nhaploid leafy edible part in apple. Hence it is a False fruit.\ngametophyte""}",3,English,NEET 2022,active,,2025-09-21T16:59:52.245351,,Apply,,,,2025-09-21T16:59:52.245351,"[""neet-2022"", ""biology""]"
1016,Biology,General Biology,Mixed,"Which one of the following will accelerate
alternating with
phosphorus cycle ?
partiaIly dependent","[""Weathering of rocks\nmulticellular\nsporophyte"", ""Rainfall and storms"", ""Burning of fossil fuels\nChoose the correct answer from the options given"", ""Volcanic activity\nbelow:""]",0,"{""text"": ""Answer (1)\n(7)\nPhosphorus cycle - ‘P’ is sedimentary cycle.\nd. Telocentric - Centromere is located\nThe natural source of phosphates is phosphate chromosome terminal end.\nrich rocks. So, phosphorus is obtained from\nweathering of phosphate rich rocks. Reservoir\nof ‘P’ is earths crust. 140. The anatomy of springwood shows some""}",3,English,NEET 2022,active,,2025-09-21T16:59:52.245407,,Apply,,,,2025-09-21T16:59:52.245407,"[""neet-2022"", ""biology""]"
1017,Biology,Plant Physiology,Photosynthesis / Transport,"Match List - I with List - II. peculiar features. Identify the correct set of
statements about0020springwood.
List-I List-II
(a) It is also called as the earlywood
(a) Metacentric
(i) Centromere (b) In spring season cambium produces xylem
chromosome
situated close to the elements with narrow vessels
end forming one
(c) It is lighter in colour
extremely short and
(d) The springwood along with autumnwood
one very longar
shows alternate concentric rings forming
(b) Acrocentric
(ii) Centromere at annual rings
chromosome
the terminal end
(e) It has lower density
(c) Sub- metacentric
(iii) Centromere in Choose the correct answer from the options
the middle forming two given below:
equal arms","[""(a)-(ii), (b)-(iii), (c)- (iv), (d)-(i)\nproduce large no. of xylary elements with wide"", ""(a)-(i), (b)-(ii), (c)-(iii), (d)-(iv) cavities and low density"", ""(a)-(iii), (b)-(i), (c)-(iv), (d)-(ii) During winters, cambium is less active,"", ""(a)-(i), (b)- (iii), (c)- (ii), (d)- (iv) produce narrow xylary elements which are\nmore dense - Autumn wood. Autumn wood""]",2,"{""text"": ""Answer (3)\nalso called as latewood\n(a) Meta centric - Centromere is at the One ring of spring wood, one ring of autumn\nchromosome middle. Forms two wood as alternate concentric rings - form one\nequal arms of the Annual ring\nchromosome""}",3,English,NEET 2022,active,,2025-09-21T16:59:52.245490,,Apply,,,,2025-09-21T16:59:52.245490,"[""neet-2022"", ""biology""]"
1018,Biology,Cell Biology,Division / Cell Cycle,"Given below are two statements: one is
labelled as Assertion (A) and the other is
(b) Acrocentric - Position of centromer
labelled as Reason
chromosome is close to the end -
forms one very short Assertion (A): Mendel's law of Independent
arm and one very assortment does not hold good for the genes
long arm. that are located closely on the same
chromosome.
c. Sub meta - Position of centromer
Reason (R): Closely located genes assort
centric is slightly away from
independently.
chromosome the middle, as a result
- one arm is shorter In the light of the above statements, choose the
and one arm is onger. correct answer from the options given below:","[""(A) is correct but (R) is not correct\n(8)\nTest-4 (Code-A)"", ""(A) is not correct but (R) is correct Sol. Answer"", ""Both (A) and (R) are correct and (R) is the C4 plant has Kranz anatomy - large number of\ncorrect explanation of (A) Bundle sheath cells around vascular bundles\nhelp for two things."", ""Both (A) and (R) are correct but (R) is not\nthe correct explanation of (A) (a) makes these cells impervious to gases""]",0,"{""text"": ""Answer (1) (b) increase the number of chloroplasts for\noperation of Calvin cycle\nMendel’s law of independent assortment based\non dihybrid cross stated that when the 144. In the following palindromic base sequences of\ninheritance pattern of two pair of genes were DNA, which one can be cut easily by particular\ncombinedly observed the segregation of one restriction enzyme?\npair of alleles is independent of another pair of\n(1) 5' C T C A G T 3' ; 3' G A G T C A 5'\nalleles. This law is true only when\n(2) 5'T A TT C 3' ; 3' CAT A A G 5'\n• genes are present on separate chromosomes\n(3) 5'G A T A C T 3' ; 3' C T A T G A 5'\n• genes present on same chromosome but\n(4) 5' G A A T T C 3' ; 3' Y C T T A A G 5'\ndistantly placed from each other.\nSol. Answer (4)""}",3,English,NEET 2022,active,,2025-09-21T16:59:52.245606,,Apply,,,,2025-09-21T16:59:52.245606,"[""neet-2022"", ""biology""]"
1019,Biology,General Biology,Mixed,"The entire fleet of buses in Delhi were
(c) Gingelly oil has lower melting point, hence converted to CNG from diesel. In reference to
remains as oil in winter this, which one of the following statements is
false?
(d) Lipids are generally insoluble in water but
soluble in some organic solvents","[""(c), (d) and (e) only"", ""It can not be adulterated like diesel\nmonoglycerides are formed"", ""CNG burns more efficiently than diesel\nChoose the correct answer from the options"", ""The same diesel engine is used in CNG\ngiven below:\nbuses making the cost of conversion low""]",3,"{""text"": ""Answer (4)\n(2) (a), (b) and (d) only\nSame diesel engine cannot be used in CNG\n(3) (a), (b) and (c) only buses.\n(4) (a), (d) and (e) only 146. Addition of more solutes in a given solution will:\n(1) make its water potential zero .\nSol. Answer (1)\n(2) not affect the water potential at all\nLecithin is a phospholipid, saturated fatty acids\nlack double bonds. (3) raise its water potential""}",3,English,NEET 2022,active,,2025-09-21T16:59:52.245710,,Apply,,,,2025-09-21T16:59:52.245710,"[""neet-2022"", ""biology""]"
1020,Biology,General Biology,Mixed,"What is the role of large bundle shealth cells (4) lower its water potential
found around the vascular bundles in C
4 Sol. Answer (4)
plants?
Water potential is a measure of free energy in","[""To enable the plant to tolerate high\nwater (closed system)\ntemperature\nWhen more solute is added to a given solution"", ""To protect the vascular tissue from high\nthe free energy of water decreased further, so it\nlight intensity\nwould further lower its water potential (less"", ""To provide the site for photorespiratory negative to more negative)\npathway"", ""plants?\nWater potential is a measure of free energy in""]",0,"{""text"": """"}",3,English,NEET 2022,active,,2025-09-21T16:59:52.245760,,Apply,,,,2025-09-21T16:59:52.245760,"[""neet-2022"", ""biology""]"
1021,Biology,General Biology,Mixed,"Transposons can be used during which one of
(4) To increase the number of chloroplast for
the following?
the operation of Calvin cycle
(9)","[""Haemophilia"", ""Thalessemia"", ""Sickle cell anaemia"", ""Gene silencing""]",3,"{""text"": ""Answer (4)\n(4) Myotonic dystrophy\nTransposons are “jumping genes” or mobile\ngenetic elements that replicate via RNA Sol. Answer (4)\nintermediate and can induce RNA interference\nMyotonic dystrophy is an autosomal dominant\nby introducing complementary RNA in\ngene disorder.\neukaryotic cell. RNAi technology is developed\nAffected people have muscle degeneracy. 101.\nbased on gene silencing mechanism.\nWhich one of the following statement is not""}",3,English,NEET 2022,active,,2025-09-21T16:59:52.245828,,Apply,,,,2025-09-21T16:59:52.245828,"[""neet-2022"", ""biology""]"
1022,Biology,General Biology,Mixed,"While explaining interspecific interaction of
true regarding gel electrophoresis technique?
population, ( +) sign is assigned for beneficial","[""Commensalism"", ""Competition"", ""Predation"", ""The separated DNA fragments are stained""]",2,"{""text"": ""The use of chromogenic substrate\npositively affected is predation is used during genetic engineering, not during\nGel electrophoresis.\nPredation - species - A (+) - species B (-)""}",3,English,NEET 2022,active,,2025-09-21T16:59:52.245885,,Apply,,,,2025-09-21T16:59:52.245885,"[""neet-2022"", ""biology""]"
1023,Biology,Genetics,Molecular / Inheritance,"If a geneticist uses the blind approach for
Inheritance.
sequencing the whole genome of an organism,
Statement II :
followed by assignment of function to different
segments, the methodology adopted by him is Seven characters examined by Mendel in his
called as experiment on pea plants were seed shape and
colour, flower colour, pod shape and colour,","[""Statement I is correct but Statement II is"", ""Bioinformatics\nIn the light of the above statements, choose the"", ""Sequence annotation\ncorrect answer from the options given below:"", ""Gene mapping""]",2,"{""text"": ""Both the statements are correct (3) Pollination by water is quite rare in\nflowering plants""}",3,English,NEET 2022,active,,2025-09-21T16:59:52.245954,,Apply,,,,2025-09-21T16:59:52.245954,"[""neet-2022"", ""biology""]"
1024,Biology,General Biology,Mixed,"XO type of sex determination can be found in :
phosphoenolpyruvate and is found in the","[""Grasshoppers\nmesophyll cells"", ""Monkeys\nStatement II:"", ""Drosophila\nMesophyll cells of C4 plants lack RuBisCo"", ""Birds enzyme. In the light of the above statements,\nchoose the correct answer from the options""]",0,"{""text"": ""Answer (1)\ngiven below:\nXO type of sex determination can be found in\n(1) Statement I is correct but Statement II is\nGrasshopper.\nincorrect""}",3,English,NEET 2022,active,,2025-09-21T16:59:52.246039,,Apply,,,,2025-09-21T16:59:52.246039,"[""neet-2022"", ""biology""]"
1025,Biology,Cell Biology,Division / Cell Cycle,"The appearance of recombination nodules on
(2) Statement I is incorrect but Statement II is
homologous chromosomes during meiosis
correct
characterizes:
(3) Both Statement I and Statement II are","[""Sites at which crossing over occurs\ncorrect"", ""Terminalization"", ""Synaptonemal complex incorrect"", ""Bivalent Sol. Answer (3)""]",0,"{""text"": ""The primary acceptor of CO in C4\n2\nExplanation: The appearance of recombination plants is PEP and is found in the mesophyll\nnodules on homologous chromosomes during cells, whereas Rubisco enzyme is found in the\nmeiosis characterizes the sites at which bundle sheath cells where it helps in fixing CO 2\ncrossing over occurs. through C 3 cycle.""}",3,English,NEET 2022,active,,2025-09-21T16:59:52.246096,,Apply,,,,2025-09-21T16:59:52.246096,"[""neet-2022"", ""biology""]"
1026,Biology,Plant Physiology,Photosynthesis / Transport,"Which of the following is not a method of ex 109. In old trees the greater part of secondary
situ conservation? xylem is dark brown and resistant to insect
attack due to:","[""Micropropagation\n(a) secretion of secondary metabolites and"", ""Cryopreservation\ntheir deposition in the lumen of vessels."", ""Invitro fertilization\n(b) deposition of organic compounds like"", ""National Parks tannins and resins in the central layers of\nstem.""]",3,"{""text"": ""Answer (4)\n(c) deposition of suberin and aromatic\nNational parks are the example of in-situ\nsubstances in the outer layer of stem.\nconservation.\n(d) deposition of tannins, gum, resin and""}",3,English,NEET 2022,active,,2025-09-21T16:59:52.246146,,Apply,,,,2025-09-21T16:59:52.246146,"[""neet-2022"", ""biology""]"
1027,Biology,General Biology,Mixed,"Identify the incorrect statement related to
aromatic substances in the peripheral
Pollination:
layers of stem.","[""(d) and (e) Only\nlignin and chitin, the rate of decomposition is"", ""(b) and (d) Only\nlow and for nitrogen rich detritus rate of"", ""(a) and (b) Only decompostion is fast."", ""(c)and(d)Only) 112. Habitat loss and fragmentation, over\nexploitation, alien species invasion and co-""]",2,"{""text"": ""In older trees the greater part of\n(1) Biodiversity loss\nsecondary xylem is dark brown and resistant to\ninsect attack due to secretion of secondary (2) Natality\nmetabolites and their deposition in the lumen of\n(3) Population explosion\nvessels and deposition of organic compounds\n(4) Competition\nlike tannins and resins in the central layer of\nstem. Sol. Answer (1)""}",3,English,NEET 2022,active,,2025-09-21T16:59:52.246204,,Apply,,,,2025-09-21T16:59:52.246204,"[""neet-2022"", ""biology""]"
1028,Biology,General Biology,Mixed,"Which one of the following produces nitrogen Explanation: The evil quartet for biodiversity
fixing nodules on the roots of Alnus? loss are","[""Rhodospirillum 1. Habitat loss and fragmentation"", ""Beijernickia 2. Over exploitation"", ""Rhizobium 3. Alien species invasion"", ""Frankia 4. Co-extinction""]",3,"{""text"": ""Frankia is a gram positive species (1) Rhodophyceae only\nof actinomycete filamentous bacterium that\n(2) Phaeophyceae only\nlives in symbiosis with actinorhizal plants in the\n(3) Chlorophyceae and Phaeophyceae\ngenus Alnus.\n(4) Phaeophyceae and Rhodophyceae""}",3,English,NEET 2022,active,,2025-09-21T16:59:52.246256,,Apply,,,,2025-09-21T16:59:52.246256,"[""neet-2022"", ""biology""]"
1029,Biology,General Biology,Mixed,"The device which can remove particulate
matter present in the exhaust from a thermal Plants follow different pathways in response to
power plant is: environment or phases of life to form different
kinds of structures The ability is called","[""Electrostatic Precipitator\nplasticity, e.g., heterophylly in cotton, coriander"", ""Catalytic Convertor\nand larkspur. In such plants, the leaves of the"", ""STP juvenile plant are different in shape from those\nin mature plants."", ""Incinerator""]",0,"{""text"": """"}",3,English,NEET 2022,active,,2025-09-21T16:59:52.246452,,Apply,,,,2025-09-21T16:59:52.246452,"[""neet-2022"", ""biology""]"
1030,Biology,Genetics,Molecular / Inheritance,"What is the net gain of ATP when each
charged DNA in nucleosome
molecule of glucose is converted to two
(d) Histones are rich in lysine and arginine
molecules of pyruvic acid?
(e) A typical nucleosome contains 400 bp of","[""(b), (e) Only"", ""Eight\nChoose the correct answer from the options"", ""Four\ngiven below:"", ""Six""]",0,"{""text"": ""Answer (1)\n(2) (a),(c),(e)Only\nOne molecule of glucose undergoes glycolysis\n(3) (b),(d),(e)Only\nto form 4 molecules of ATP, two are used in\n(4) (a), (c), (d) Only\nactivation phase so net gain is of 2 ATP.\nSol. Answer (4)""}",3,English,NEET 2022,active,,2025-09-21T16:59:52.246566,,Apply,,,,2025-09-21T16:59:52.246566,"[""neet-2022"", ""biology""]"
1031,Biology,General Biology,Mixed,"Which one of the following plants shows
stem possess endarch protoxylem
vexillary aestivation and diadelphous stamens?
(e) In monocotyledonous root, usually there","[""(a), (b), (c) and (d) Only"", ""Solanum nigrum\nChoose the correct answer from the options"", ""Colchicum\ngiven below"", ""Pisum sativum autumnale""]",3,"{""text"": ""Answer (4)\n(2) (a), (c), (d) and (e) Only\nVexillary Aestivation and Diadelphous\n(3) (a), (b) and (d) Only\nstatements are feature of Fabaceae\n(4) (b), (c), (d) and (e) Only\n(14)\nTest-4 (Code-A)\nPisum sativum - Fabaceae 130. Which one of the following statements cannot\nbe connected to Predation?\nSolanum - Solanaceae\n(1) Both the interacting species are negatively\nColchicum, Allium - Liliaceae\nimpacted""}",3,English,NEET 2022,active,,2025-09-21T16:59:52.246677,,Apply,,,,2025-09-21T16:59:52.246677,"[""neet-2022"", ""biology""]"
1032,Biology,Genetics,Molecular / Inheritance,"DNA polymorphism forms the basis of:
(2) It is necessitated by nature to maintain the","[""Both genetic mapping and DNA finger\necological balance\nprinting"", ""Translation\ncommunity"", ""Genetic mapping"", ""DNA finger printing""]",0,"{""text"": ""Answer (1)\nSol. Answer (1)\nIn Predation interaction, is + - i.e for species\nDNA polymorphism is the basis of genetic (Host) it is beneficial and for others (Prey) it is\nmapping of genome and of DNA fingerprinting. detrimental""}",3,English,NEET 2022,active,,2025-09-21T16:59:52.246722,,Apply,,,,2025-09-21T16:59:52.246722,"[""neet-2022"", ""biology""]"
1033,Biology,General Biology,Mixed,"What amount of energy is released from 131. Given below are two statements:
glucose during lactic acid fermentation
Statement I: Cleistogamous flowers are","[""About 10% invariably autogamous"", ""Less than 7% Statement II: Cleistogamy is disadvantageous\nas there is no chance for cross pollination"", ""Approximately 15%\nIn the light of the above statements, choose the"", ""More than 18%\ncorrect answer from the options given below :""]",1,"{""text"": ""Answer (2)\n(1) Statement I is correct but Statement II is\nLess than 7% of energy is released in lactic incorrect\nacid and alcoholic fermentation\n(2) Statement I is incorrect but Statement II is""}",3,English,NEET 2022,active,,2025-09-21T16:59:52.246770,,Apply,,,,2025-09-21T16:59:52.246770,"[""neet-2022"", ""biology""]"
1034,Biology,General Biology,Mixed,"Production of Cucumber has increased
Choose the correct answer from the options manifold in recent years. Application of which
given below : of the following phytohormones has resulted in","[""Ethylene"", ""Cytokinin"", ""ABA"", ""(a) and (d) Only""]",0,"{""text"": ""Answer (1)\nSol. Answer (1)\nIn cucumbers, ethylene is responsible for\nAdventitious buds and not leaflets are modified\npromoting female flower production and\ninto pointed hard thorns in Citrus and\nthereby increasing the yield.\nBougainvillea""}",3,English,NEET 2022,active,,2025-09-21T16:59:52.246857,,Apply,,,,2025-09-21T16:59:52.246857,"[""neet-2022"", ""biology""]"
1035,Biology,Plant Physiology,Photosynthesis / Transport,"Match List- I with List- II.
(15)
Gaseous plant growth regulator is ethylene
(a) Manganese (i) Activates the
which helps in root growth and root hair
enzyme catalase
absorption and therefore increases the surface
(b) Magnesium (ii) Required for pollen area for absorption
germination 136. Match the plant with the kind of life cycle it
exhibits:
(c) Boron (iii) Activates enzymes
of respiration
(d) Iron (iv) Functions in List-I List-II
splitting of water
(a) Spirogyra (i) Dominant diploid
during photosynthesis
sporophyte vascular
Choose the correct answer from the options plant, with highly
given below reduced male or
female gametophyte","[""(a)-(iv), (b)- (i),(c)-(ii), (d)-(iii)"", ""(a)- (iii), (b)-(i), (c)-(ii), (d)- (iv) (b) Fern (ii) Dominant\nhaploid free-living"", ""(a)-(iii), (b)- (iv), (c)-(i), (d)-(ii)\ngametophyte"", ""(a)-(iv), (b)- (iii), (c)- (ii), (d)-(i)\n(c) Funaria (iii) Dominant diploid""]",3,"{""text"": ""Answer (4)\nsporophyte alternating\nIron - Activate catalase with reduced\nBoron - Help in pollen germination gametophyte called\nprothallus\nManganese - Plays major role in splitting of\nwater and release of oxygen during (b) Cycas (iv) Dominant\nphotosynthesis haploid leafy\nMagnesium - Activate several enzymes during gametophyte\nphotosynthesis and respiration. alternating with\npartiaIly dependent""}",3,English,NEET 2022,active,,2025-09-21T16:59:52.246935,,Apply,,,,2025-09-21T16:59:52.246935,"[""neet-2022"", ""biology""]"
